NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE
Cash loans,F,N,N,0,63000,439740,23985,315000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009657,-20893,365243,-5270,-4121,,1,0,0,1,0,0,,2,2,2,THURSDAY,10,0,0,0,0,0,0,XNA,,0.617706793,0.08011638,,,,,,,,,,,,,,,,,
Cash loans,F,N,N,0,112500,720000,28548,720000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.031329,-19882,-3180,-3583,-3429,,1,1,1,1,1,0,High skill tech staff,2,2,2,TUESDAY,10,0,0,0,0,0,0,Construction,0.660352687,0.701002844,0.684827659,0.0732,0.0513,0.995,0.932,0.0249,0.08,0.069,0.3333,0.375,0.0132,0.0597,0.0435,0,0,0.0746,0.0532,0.995
Revolving loans,F,Y,Y,0,247500,1350000,67500,1350000,Family,Pensioner,Higher education,Married,House / apartment,0.018634,-20384,365243,-4156,-3373,1,1,0,0,1,1,0,,2,2,2,WEDNESDAY,10,0,0,0,0,0,0,XNA,,0.648634716,0.74766339,,,,,,,,,,,,,,,,,
Cash loans,M,Y,Y,0,135000,1288350,37800,1125000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.020713,-18184,-181,-8377,-1727,3,1,1,0,1,0,0,Laborers,2,3,2,WEDNESDAY,8,0,0,0,0,0,0,Medicine,,0.510119725,,0.0784,0.0802,0.9767,0.626,0.0114,0,0.1379,0.1667,0.2083,0.0338,0.063,0.0624,0.0039,0.0095,0.0798,0.0832,
Cash loans,F,N,N,2,157500,1575000,46053,1575000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.0228,-12121,-1618,-1640,-2773,,1,1,1,1,1,0,Core staff,4,2,2,TUESDAY,16,0,0,0,0,0,0,Kindergarten,0.521959291,0.26525634,0.397946322,0.2299,0.0735,0.9975,0.966,,0.24,0.1034,0.5833,0.625,0.0847,0.1841,0.1265,0.0174,0.0295,0.1229,0.0446,0.9975
Cash loans,F,N,Y,0,126000,474048,20214,360000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-21718,-481,-8101,-4608,,1,1,0,1,1,0,Sales staff,2,2,2,THURSDAY,9,0,0,0,0,0,0,Trade: type 7,,0.75507407,0.313916677,0.0773,0.0632,0.9771,0.6872,0.0326,0,0.1724,0.1667,0.2083,0.1669,0.063,0.0651,0,0,0.0788,0.0656,0.9772
Cash loans,M,N,Y,0,180000,450000,21888,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014464,-14120,-2436,-2615,-3567,,1,1,1,1,0,0,Laborers,2,2,2,SATURDAY,6,0,0,0,0,0,0,Business Entity Type 3,0.553173955,0.704324291,0.441835823,,,,,,,,,,,,,,,,,
Cash loans,F,Y,Y,0,90000,397881,26716.5,328500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-10647,-107,-4638,-1799,13,1,1,0,1,0,0,Cooking staff,2,2,2,TUESDAY,16,0,1,1,0,1,1,Business Entity Type 3,,0.672466845,0.72239289,,,,,,,,,,,,,,,,,
Cash loans,F,N,Y,0,67500,450000,19066.5,450000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-24086,365243,-3818,-4371,,1,0,0,1,0,0,,2,2,2,FRIDAY,9,0,0,0,0,0,0,XNA,,0.594990868,0.812822607,,,,,,,,,,,,,,,,,
Cash loans,M,Y,N,0,180000,225000,16371,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.011657,-14192,-2071,-8536,-4637,1,1,1,1,1,1,0,Drivers,2,1,1,MONDAY,11,0,1,1,0,1,1,Business Entity Type 1,0.356369296,0.581448152,0.131770133,,,,,,,,,,,,,,,,,
Cash loans,M,N,N,1,360000,1042560,58347,900000,Family,State servant,Secondary / secondary special,Married,Municipal apartment,0.003818,-11136,-1806,-1735,-3773,,1,1,0,1,0,0,Core staff,3,2,2,TUESDAY,5,0,0,0,0,1,1,Security Ministries,,0.520938774,0.251239446,0.0371,0.0582,0.9781,,,0,0.1379,0.0833,,,0.0303,0.0329,,0.0085,0.0378,0.0604,0.9782
Cash loans,F,N,N,0,45000,225000,10489.5,225000,Unaccompanied,Working,Secondary / secondary special,Single / not married,Municipal apartment,0.035792,-14009,-5988,-8089,-4418,,1,1,0,1,0,0,Cleaning staff,1,2,2,FRIDAY,16,0,0,0,0,1,1,Kindergarten,,0.523208566,0.474051289,,,,,,,,,,,,,,,,,
